VehicleId,DepotId,InitialLoad,RouteSequence,ClientsServed,DemandsSatisfied,TotalDistance,TotalTime,FuelCost
V1,D12,18,D12 - C4 - C1 - D12,2,6 - 12,28.79,23.99,595852
V2,D9,42,D9 - C3 - C8 - C7 - C5 - D9,4,15 - 10 - 12 - 5,43.09,35.91,891934
V3,D5,26,D5 - C2 - C6 - D5,2,15 - 11,26.1,21.75,540169
V4,D11,15,D11 - C9 - D11,1,15,10.25,8.54,212258
