VehicleId,DepotId,InitialLoad,RouteSequence,ClientsServed,DemandsSatisfied,TotalDistance,TotalTime,FuelCost
V4,D1,133,D1 - C18 - C15 - C4 - C1 - C24 - C16 - C10 - C17 - C2 - D1,9,12 - 17 - 15 - 13 - 11 - 10 - 15 - 25 - 15,70.92,85.11,1468112
V10,D1,94,D1 - C5 - C8 - C11 - C9 - C6 - D1,5,20 - 20 - 17 - 20 - 17,60.32,72.38,1248620
V21,D1,150,D1 - C21 - C7 - C19 - C22 - C13 - C3 - C23 - C14 - C20 - C12 - D1,10,14 - 17 - 11 - 18 - 21 - 12 - 15 - 15 - 15 - 12,62.97,75.56,1303382
