config_id,run,seed,cpu_time,initial_memory_mb,final_memory_mb,memory_increase_mb,best_iteration_memory_mb,best_iteration_number,objective_value,final_cost,penalty,num_vehicles,total_distance,converged_at,load_balance_std,load_balance_range,load_balance_cv,vehicle_loads,population_size,generations,mutation_rate,tournament_k
1,1,42,0.5829381942749023,270.57421875,270.57421875,0.0,0.027057421875,12,2079151.4700000002,2079151.4700000002,0,1,100.4421,100,0.0,0.0,0.0,[101.0],50,100,0.05,3
1,2,123,0.4348156452178955,270.57421875,270.57421875,0.0,0.027057421875,12,2371696.29,2371696.29,0,1,114.5747,100,0.0,0.0,0.0,[101.0],50,100,0.05,3
1,3,7890,0.409625768661499,270.57421875,270.57421875,0.0,0.027057421875,9,2079151.4700000002,2079151.4700000002,0,1,100.4421,100,0.0,0.0,0.0,[101.0],50,100,0.05,3
2,1,42,0.6280934810638428,270.57421875,270.57421875,0.0,0.027057421875,6,2308263.21,2308263.21,0,1,111.5103,100,0.0,0.0,0.0,[101.0],50,100,0.05,5
2,2,123,0.5451481342315674,270.57421875,270.57421875,0.0,0.027057421875,22,2079151.4700000002,2079151.4700000002,0,1,100.4421,100,0.0,0.0,0.0,[101.0],50,100,0.05,5
2,3,7890,0.5290989875793457,270.57421875,270.57421875,0.0,0.027057421875,50,2079151.4700000002,2079151.4700000002,0,1,100.4421,100,0.0,0.0,0.0,[101.0],50,100,0.05,5
3,1,42,0.7969040870666504,270.57421875,270.57421875,0.0,0.027057421875,3,2079151.4700000002,2079151.4700000002,0,1,100.4421,100,0.0,0.0,0.0,[101.0],50,100,0.05,7
3,2,123,0.7608885765075684,270.57421875,270.57421875,0.0,0.027057421875,31,2079151.4700000002,2079151.4700000002,0,1,100.4421,100,0.0,0.0,0.0,[101.0],50,100,0.05,7
3,3,7890,0.7738039493560791,270.57421875,270.57421875,0.0,0.027057421875,22,2258200.2600000002,2258200.2600000002,0,1,109.0918,100,0.0,0.0,0.0,[101.0],50,100,0.05,7
4,1,42,0.45632266998291016,270.57421875,270.57421875,0.0,0.027057421875,6,2165335.9200000004,2165335.9200000004,0,1,104.6056,100,0.0,0.0,0.0,[101.0],50,100,0.1,3
4,2,123,0.48337340354919434,270.57421875,270.57421875,0.0,0.027057421875,16,2250628.2,2250628.2,0,1,108.726,100,0.0,0.0,0.0,[101.0],50,100,0.1,3
4,3,7890,0.38518309593200684,270.57421875,270.57421875,0.0,0.027057421875,8,2079151.4700000002,2079151.4700000002,0,1,100.4421,100,0.0,0.0,0.0,[101.0],50,100,0.1,3
5,1,42,0.5604205131530762,270.57421875,270.57421875,0.0,0.027057421875,6,2250628.2,2250628.2,0,1,108.726,100,0.0,0.0,0.0,[101.0],50,100,0.1,5
5,2,123,0.5393891334533691,270.57421875,270.57421875,0.0,0.027057421875,7,2288666.5199999996,2288666.5199999996,0,1,110.5636,100,0.0,0.0,0.0,[101.0],50,100,0.1,5
5,3,7890,0.6052353382110596,270.57421875,270.57421875,0.0,0.027057421875,7,2079151.4700000002,2079151.4700000002,0,1,100.4421,100,0.0,0.0,0.0,[101.0],50,100,0.1,5
