VehicleId,DepotId,InitialLoad,RouteSequence,ClientsServed,DemandsSatisfied,TotalDistance,TotalTime,FuelCost
V1,D1,131.92,D1 - C18 - C24 - C16 - C10 - C22 - C13 - C7 - C19 - D1,8,12 - 11 - 10 - 15 - 18 - 21 - 17 - 11,79.92,0.0,1654288
V8,D1,78.6,D1 - C21 - D1,1,14,15.67,0.0,324427
V10,D1,98.21,D1 - C11 - C9 - C8 - C5 - C23 - D1,5,17 - 20 - 20 - 20 - 15,66.53,0.0,1377181
V11,D1,114.0,D1 - C3 - C6 - C1 - C15 - C4 - C17 - C2 - D1,7,12 - 17 - 13 - 17 - 15 - 25 - 15,52.63,0.0,1089522
V18,D1,109.0,D1 - C20 - C14 - C12 - D1,3,15 - 15 - 12,19.07,0.0,394788
