config_id,mean_obj,std_obj,min_obj,max_obj,mean_time,mean_vehicles,mean_distance,mean_memory_increase,mean_best_iter_memory,mean_load_balance_cv,mean_load_balance_std,mean_load_balance_range,population_size,generations,mutation_rate,tournament_k
1,5676446.46,116963.79061769118,5578277.4,5805859.41,0.5974153677622477,3.0,274.2244666666666,0.0,0.0397171875,0.06595193045196744,8.287959260130576,20.0,50,100,0.05,3
2,5634308.850000001,270106.03866637003,5461593.57,5945576.13,0.8548173109690348,3.0,272.1888333333333,0.0,0.0397171875,0.0704799013108096,8.856974264725073,20.666666666666668,50,100,0.05,5
3,5737903.38,130547.77888435278,5591556.45,5842376.28,1.0959529081980388,3.0,277.1934,0.0,0.0397171875,0.058121752718477,7.303966924955277,17.333333333333332,50,100,0.05,7
4,5555841.36,88718.74648039347,5453940.780000001,5615914.140000001,0.5690466562906901,3.0,268.39813333333336,0.0,0.0397171875,0.0592721453850471,7.44853293672092,17.0,50,100,0.1,3
5,5646759.899999999,224769.19887948857,5477273.82,5901729.39,0.8241509596506754,3.0,272.79033333333336,0.0,0.0397171875,0.07657788136912701,9.623287092053628,23.333333333333332,50,100,0.1,5
6,5357909.34,36270.711003193246,5317115.85,5386520.880000001,1.0805132389068604,3.0,258.8362,0.0,0.0397171875,0.08015156990850823,10.072380618502534,24.0,50,100,0.1,7
7,5506932.78,44662.51355839601,5474146.05,5557800.96,0.5704250335693359,3.0,266.0354,0.0,0.0397171875,0.07850320256050951,9.865235788437362,23.333333333333332,50,100,0.15,3
8,5375505.03,116895.58719958906,5299013.7,5510064.69,0.8248838583628336,3.0,259.6862333333333,0.0,0.0397171875,0.07308515719165112,9.184368087084158,21.333333333333332,50,100,0.15,5
9,5366160.36,219131.0053157311,5135984.640000001,5572257.84,1.0848347345987956,3.0,259.2348,0.0,0.0397171875,0.044910805368524064,5.643791207977858,13.0,50,100,0.15,7
10,5529677.25,26190.836401695633,5504214.87,5556540.33,1.1203523476918538,3.0,267.13416666666666,0.0,0.0397171875,0.0708531977346033,8.903885181981815,20.333333333333332,50,200,0.05,3
11,5544738.57,292943.75872933056,5306095.17,5871672.99,1.6428802808125813,3.0,267.86176666666665,0.0,0.0397171875,0.06717335724332635,8.44145189357801,19.666666666666668,50,200,0.05,5
12,5484629.22,124877.40859407949,5367847.41,5616272.25,2.141752322514852,3.0,264.95793333333336,0.0,0.0397171875,0.05554764931142869,6.9804879301362055,15.666666666666666,50,200,0.05,7
13,5417072.01,12040.335031534445,5403716.37,5427094.949999999,1.1261192957560222,3.0,261.6943,0.0,0.0397171875,0.07104826875466343,8.928399106836038,20.333333333333332,50,200,0.1,3
14,5484526.41,66468.75727530348,5445745.65,5561276.49,1.6433107058207195,3.0,264.95296666666667,0.0,0.0397171875,0.07657788136912701,9.623287092053628,23.333333333333332,50,200,0.1,5
15,5333930.46,16889.623200299648,5317115.85,5350894.109999999,2.1449221769968667,3.0,257.6778,0.0,0.0397171875,0.08015156990850823,10.072380618502534,24.0,50,200,0.1,7
16,5358531.03,151205.2329836675,5206768.29,5509172.5200000005,1.1314047972361247,3.0,258.86623333333335,0.0,0.0397171875,0.07850320256050951,9.865235788437362,22.666666666666668,50,200,0.15,3
17,5314644.2700000005,194954.28390629758,5120159.49,5510064.69,1.6351408958435059,3.0,256.7461,0.0,0.0397171875,0.07148801389761116,8.983660413133135,21.0,50,200,0.15,5
18,5280282.2700000005,173199.8916771018,5095195.29,5438440.62,2.1462550163269043,3.0,255.0861,0.0,0.0397171875,0.06159456918527739,7.740384194283192,18.333333333333332,50,200,0.15,7
19,5366069.28,66081.31510478035,5320771.47,5441895.449999999,1.1336174011230469,3.0,259.2304,0.0,0.0397171875,0.07911515756244258,9.942138133680286,24.333333333333332,100,100,0.05,3
20,5246825.55,270560.0862409547,4934488.7700000005,5409081.8100000005,1.6530430316925049,3.0,253.46983333333333,0.0,0.0397171875,0.06888163361432907,8.656125290867353,21.0,100,100,0.05,5
21,5501959.259999999,241582.45725331313,5241465.629999999,5718631.68,2.1453804175059,3.0,265.79513333333335,0.0,0.0397171875,0.07242071105729396,9.100869356199942,22.0,100,100,0.05,7
