config_id,run,seed,cpu_time,initial_memory_mb,final_memory_mb,memory_increase_mb,best_iteration_memory_mb,best_iteration_number,objective_value,final_cost,penalty,num_vehicles,total_distance,converged_at,load_balance_std,load_balance_range,load_balance_cv,vehicle_loads,population_size,generations,mutation_rate,tournament_k
10,2,123,0.41977620124816895,401.734375,401.734375,0.0,0.0401734375,12,2371696.29,2371696.29,0,1,114.5747,200,0.0,0.0,0.0,[101.0],50,200,0.05,3
10,3,7890,0.4174058437347412,401.734375,401.734375,0.0,0.0401734375,9,2079151.4700000002,2079151.4700000002,0,1,100.4421,200,0.0,0.0,0.0,[101.0],50,200,0.05,3
11,1,42,0.6071789264678955,401.734375,401.734375,0.0,0.0401734375,6,2308263.21,2308263.21,0,1,111.5103,200,0.0,0.0,0.0,[101.0],50,200,0.05,5
11,2,123,0.598444938659668,401.734375,401.734375,0.0,0.0401734375,22,2079151.4700000002,2079151.4700000002,0,1,100.4421,200,0.0,0.0,0.0,[101.0],50,200,0.05,5
11,3,7890,0.5987887382507324,401.734375,401.734375,0.0,0.0401734375,50,2079151.4700000002,2079151.4700000002,0,1,100.4421,200,0.0,0.0,0.0,[101.0],50,200,0.05,5
12,1,42,0.7833640575408936,401.734375,401.734375,0.0,0.0401734375,3,2079151.4700000002,2079151.4700000002,0,1,100.4421,200,0.0,0.0,0.0,[101.0],50,200,0.05,7
12,2,123,0.7822558879852295,401.734375,401.734375,0.0,0.0401734375,31,2079151.4700000002,2079151.4700000002,0,1,100.4421,200,0.0,0.0,0.0,[101.0],50,200,0.05,7
12,3,7890,0.7760188579559326,401.734375,401.734375,0.0,0.0401734375,22,2258200.2600000002,2258200.2600000002,0,1,109.0918,200,0.0,0.0,0.0,[101.0],50,200,0.05,7
13,1,42,0.4218618869781494,401.734375,401.734375,0.0,0.0401734375,6,2165335.9200000004,2165335.9200000004,0,1,104.6056,200,0.0,0.0,0.0,[101.0],50,200,0.1,3
13,2,123,0.42008018493652344,401.734375,401.734375,0.0,0.0401734375,16,2250628.2,2250628.2,0,1,108.726,200,0.0,0.0,0.0,[101.0],50,200,0.1,3
13,3,7890,0.41661524772644043,401.734375,401.734375,0.0,0.0401734375,8,2079151.4700000002,2079151.4700000002,0,1,100.4421,200,0.0,0.0,0.0,[101.0],50,200,0.1,3
14,1,42,0.6057589054107666,401.734375,401.734375,0.0,0.0401734375,6,2250628.2,2250628.2,0,1,108.726,200,0.0,0.0,0.0,[101.0],50,200,0.1,5
14,2,123,0.5986337661743164,401.734375,401.734375,0.0,0.0401734375,7,2288666.5199999996,2288666.5199999996,0,1,110.5636,200,0.0,0.0,0.0,[101.0],50,200,0.1,5
14,3,7890,0.6023879051208496,401.734375,401.734375,0.0,0.0401734375,7,2079151.4700000002,2079151.4700000002,0,1,100.4421,200,0.0,0.0,0.0,[101.0],50,200,0.1,5
15,1,42,0.790733814239502,401.734375,401.734375,0.0,0.0401734375,3,2079151.4700000002,2079151.4700000002,0,1,100.4421,200,0.0,0.0,0.0,[101.0],50,200,0.1,7
